City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
245,Constitucion,CL,2021-10-20 18:48:05,-35.3333,-72.4167,59.05,70,41,6.8
246,Riyadh,SA,2021-10-20 18:54:24,24.6877,46.7219,84.34,16,0,10.33
247,Grindavik,IS,2021-10-20 18:51:06,63.8424,-22.4338,35.55,74,0,2.3
248,Tual,ID,2021-10-20 18:56:25,-5.6667,132.75,81.59,78,100,2.8
249,Ajdabiya,LY,2021-10-20 18:56:26,30.7554,20.2263,72.28,55,69,10.96
250,Asfi,MA,2021-10-20 18:56:27,32.2994,-9.2372,69.06,93,100,4.41
251,Black River,JM,2021-10-20 18:56:27,18.0264,-77.8487,86.99,70,67,3.4
252,Port Hardy,CA,2021-10-20 18:52:23,50.6996,-127.4199,51.8,93,90,6.91
253,Tarko-Sale,RU,2021-10-20 18:52:43,64.9225,77.785,32.43,82,92,8.84
254,Mandal,IN,2021-10-20 18:56:28,25.45,74.5667,72.55,42,0,8.7
255,Walvis Bay,NA,2021-10-20 18:56:28,-22.9575,14.5053,62.1,82,90,3.44
256,Pekin,CN,2021-10-20 18:52:49,39.9075,116.3972,37.29,40,4,3.38
257,Talnakh,RU,2021-10-20 18:56:29,69.4865,88.3972,32.36,90,100,17.58
258,Winsum,NL,2021-10-20 18:52:13,53.33,6.5208,58.98,56,1,23.85
259,Dwarka,IN,2021-10-20 18:56:29,22.2394,68.9678,80.24,58,0,7.94
260,Pokhara,NP,2021-10-20 18:56:30,28.2333,83.9833,66.36,94,91,1.86
261,Xocali,AZ,2021-10-20 18:56:30,39.913,46.7903,49.89,88,100,2.3
262,San Carlos De Bariloche,AR,2021-10-20 18:56:31,-41.1456,-71.3082,65.95,34,40,25.32
263,Guiratinga,BR,2021-10-20 18:56:31,-16.3494,-53.7583,88.07,43,66,5.97
264,Kodinsk,RU,2021-10-20 18:56:31,58.6881,99.1844,34.27,92,40,4.25
265,Lompoc,US,2021-10-20 18:51:48,34.6391,-120.4579,74.7,52,1,0.0
266,Yanam,IN,2021-10-20 18:56:32,16.7333,82.2167,77.14,95,81,2.73
267,Tres Arroyos,AR,2021-10-20 18:56:33,-38.3739,-60.2798,75.6,34,0,10.45
268,Victoria,HK,2021-10-20 18:47:31,22.2855,114.1577,80.33,86,95,1.99
269,Teguise,ES,2021-10-20 18:56:33,29.0605,-13.564,70.02,78,20,16.11
270,Otane,NZ,2021-10-20 18:56:34,-39.8833,176.6333,52.02,85,100,1.3
271,Parintins,BR,2021-10-20 18:56:34,-2.6283,-56.7358,91.56,48,100,2.55
272,Yumen,CN,2021-10-20 18:56:35,40.2833,97.2,41.5,26,74,8.99
273,Mamit,IN,2021-10-20 18:56:35,23.9333,92.4833,67.23,99,99,3.6
274,Fort Nelson,CA,2021-10-20 18:56:35,58.8053,-122.7002,24.39,100,90,0.0
275,Lorengau,PG,2021-10-20 18:56:36,-2.0226,147.2712,80.87,78,99,6.04
276,Rundu,NA,2021-10-20 18:56:36,-17.9333,19.7667,73.38,62,99,5.64
277,Bayburt,TR,2021-10-20 18:56:37,40.2589,40.2278,38.1,76,6,1.68
278,Kenai,US,2021-10-20 18:56:37,60.5544,-151.2583,41.09,97,20,10.33
279,Sabae,JP,2021-10-20 18:56:38,35.9465,136.185,49.78,82,99,7.29
280,Moose Factory,CA,2021-10-20 18:56:38,51.2585,-80.6094,42.8,56,40,9.22
281,Magan,ES,2021-10-20 18:56:39,39.9683,-3.931,73.09,48,22,6.93
282,Visnes,NO,2021-10-20 18:56:39,59.3556,5.2242,53.22,93,75,17.27
283,Si Satchanalai,TH,2021-10-20 18:56:40,17.5169,99.7598,73.69,97,43,1.07
284,Esmeraldas,BR,2021-10-20 18:56:40,-19.7625,-44.3139,68.11,88,100,6.6
285,Socorro,US,2021-10-20 18:56:40,31.6546,-106.3033,79.92,24,0,4.36
286,Miraflores,MX,2021-10-20 18:56:41,19.2167,-98.8083,71.02,71,97,1.72
287,Guymon,US,2021-10-20 18:53:46,36.6828,-101.4816,64.47,28,0,6.87
288,Andrews,US,2021-10-20 18:56:41,32.3187,-102.5457,83.64,23,1,6.91
289,Shache,CN,2021-10-20 18:50:02,38.4167,77.2406,56.55,21,80,5.91
290,Tukrah,LY,2021-10-20 18:56:42,32.5341,20.5791,69.17,69,73,13.27
291,Pandan,PH,2021-10-20 18:56:42,14.0453,124.1694,80.49,87,100,9.06
